experiment,parameter,variable,actual,top5,hit5,p_actual,neg_log_prob,brier
blend_with_analytical,analytical_weight=0.1,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05302248203742589,2.937039265987504,0.9718918186226743
blend_with_analytical,analytical_weight=0.2,QS_1,1,"[1, 2, 4, 3, 5]",1.0,0.1225663447179283,2.099102806069927,0.8255851498205923
blend_with_analytical,analytical_weight=0.2,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.04085680466951973,3.197681894571302,0.9600337246124522
blend_with_analytical,analytical_weight=0.2,QS_3,17,"[17, 18, 19, 21, 22]",1.0,0.05100949304407837,2.975743525460178,0.9357301172385447
blend_with_analytical,analytical_weight=0.2,QS_4,23,"[28, 32, 31, 30, 34]",0.0,0.04596430722450895,3.079890113584439,0.9500281129604584
blend_with_analytical,analytical_weight=0.2,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.053203294206644915,2.9336349633740393,0.9711616360602568
blend_with_analytical,analytical_weight=0.3,QS_1,1,"[1, 2, 4, 3, 5]",1.0,0.12327119265803385,2.0933685322969087,0.8246396084942802
blend_with_analytical,analytical_weight=0.3,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.04094634086492939,3.195492828843339,0.9599993221509975
blend_with_analytical,analytical_weight=0.3,QS_3,17,"[17, 18, 19, 21, 22]",1.0,0.05065147033546452,2.9827870193807615,0.9365512323205802
blend_with_analytical,analytical_weight=0.3,QS_4,23,"[28, 32, 31, 30, 27]",0.0,0.045568247865822,3.0885441237362565,0.9509274274036766
blend_with_analytical,analytical_weight=0.3,QS_5,32,"[38, 39, 37, 36, 35]",0.0,0.05338410637396117,2.9302422107640327,0.9704449726653722
blend_with_analytical,analytical_weight=0.4,QS_1,1,"[1, 2, 4, 3, 5]",1.0,0.12397604059693783,2.087666953039118,0.8237181876296326
blend_with_analytical,analytical_weight=0.4,QS_2,5,"[11, 13, 10, 9, 8]",0.0,0.04103587705933463,3.1933085446834064,0.9599705854206377
blend_with_analytical,analytical_weight=0.4,QS_3,17,"[17, 18, 19, 21, 22]",1.0,0.050293447624280604,2.98988047628066,0.9373771248738267
blend_with_analytical,analytical_weight=0.4,QS_4,23,"[28, 32, 31, 30, 27]",0.0,0.0451721885040816,3.097273680100075,0.9518356361588023
blend_with_analytical,analytical_weight=0.4,QS_5,32,"[39, 38, 37, 36, 35]",0.0,0.053564918539374624,2.9268609300496062,0.9697418284375933
blend_with_analytical,analytical_weight=0.5,QS_1,1,"[1, 2, 4, 3, 5]",1.0,0.12468088853464022,2.081997697587379,0.8228208872265248
blend_with_analytical,analytical_weight=0.5,QS_2,5,"[11, 10, 13, 9, 8]",0.0,0.04112541325273544,3.1911290212483547,0.9599475144211835
blend_with_analytical,analytical_weight=0.5,QS_3,17,"[17, 18, 19, 21, 22]",1.0,0.04993542491052664,2.9970246100506555,0.9382077948983845
blend_with_analytical,analytical_weight=0.5,QS_4,23,"[28, 32, 30, 31, 27]",0.0,0.04477612913928773,3.106080113278787,0.9527527392260398
blend_with_analytical,analytical_weight=0.5,QS_5,32,"[39, 38, 37, 36, 35]",0.0,0.05374573070288529,2.9234910439125272,0.9690522033764932
blend_with_analytical,analytical_weight=0.6,QS_1,1,"[1, 2, 4, 3, 5]",1.0,0.12538573647114104,2.0763604015019586,0.8219477072848344
blend_with_analytical,analytical_weight=0.6,QS_2,5,"[11, 10, 9, 13, 12]",0.0,0.041214949445131835,3.1889542378310227,0.9599301091524424
blend_with_analytical,analytical_weight=0.6,QS_3,17,"[19, 18, 17, 21, 22]",1.0,0.04957740219420262,3.0042201499922245,0.9390432423943579
blend_with_analytical,analytical_weight=0.6,QS_4,23,"[28, 30, 32, 31, 27]",0.0,0.044380069771440406,3.1149647893419172,0.9536787366055959
blend_with_analytical,analytical_weight=0.6,QS_5,32,"[39, 38, 37, 36, 35]",0.0,0.05392654286449316,2.9201324758136042,0.9683760974816454
blend_with_analytical,analytical_weight=0.7,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.12609058440644016,2.0707547064719893,0.8210986478044374
blend_with_analytical,analytical_weight=0.7,QS_2,5,"[11, 10, 9, 13, 12]",0.0,0.041304485636523794,3.1867841738590585,0.9599183696142247
blend_with_analytical,analytical_weight=0.7,QS_3,17,"[19, 21, 18, 17, 22]",1.0,0.04921937947530855,3.0114678412643108,0.9398834673618491
blend_with_analytical,analytical_weight=0.7,QS_4,23,"[28, 30, 31, 32, 27]",0.0,0.04398401040053961,3.1239291110973886,0.9546136282976762
blend_with_analytical,analytical_weight=0.7,QS_5,32,"[39, 38, 37, 36, 35]",0.0,0.05410735502419826,2.916785149982252,0.9677135107526228
blend_with_analytical,analytical_weight=0.8,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.12679543234053778,2.065180260178803,0.8202737087852118
blend_with_analytical,analytical_weight=0.8,QS_2,5,"[11, 10, 9, 12, 13]",0.0,0.04139402182691134,3.184618808893749,0.9599122958063399
blend_with_analytical,analytical_weight=0.8,QS_3,17,"[19, 21, 18, 20, 22]",0.0,0.04886135675384444,3.018768445346413,0.9407284698009614
blend_with_analytical,analytical_weight=0.8,QS_4,23,"[28, 30, 31, 32, 29]",0.0,0.043587951026585366,3.1329745194208183,0.9555574143024861
blend_with_analytical,analytical_weight=0.8,QS_5,32,"[39, 38, 37, 36, 35]",0.0,0.054288167182000545,2.9134489914062383,0.9670644431889988
blend_with_analytical,analytical_weight=0.9,QS_1,1,"[1, 2, 3, 4, 5]",1.0,0.12750028027343377,2.0596367161630624,0.8194728902270318
blend_with_analytical,analytical_weight=0.9,QS_2,5,"[11, 10, 9, 12, 13]",0.0,0.041483558016294456,3.1824581226288675,0.9599118877285966
blend_with_analytical,analytical_weight=0.9,QS_3,17,"[19, 21, 20, 18, 22]",0.0,0.048503334029810254,3.0261227405186975,0.941578249711798
